,id,time_on_site,positive_rating,neutral_rating,negative_rating,listing,listing_gmv,sale,buyers,gmv,listing_per_day,clusters
199817,249428735,67,32,1,0,70,5381.0,35,33,1924.0,1.0447761194,1.0
199901,249489255,80,29,3,1,129,1554.0,34,34,373.0,1.6125,1.0
201409,250633465,41,4,0,0,34,3322.0,4,4,128.0,0.829268292683,1.0
201495,250697054,37,34,4,1,139,2352.0,40,40,689.0,3.75675675676,1.0
201521,250721438,11,1,0,0,38,2453.0,1,1,23.0,3.45454545455,1.0
201575,250757535,39,31,2,0,88,1573.0,34,34,780.0,2.25641025641,1.0
201588,250765757,44,21,1,0,85,1988.0,24,24,429.0,1.93181818182,1.0
203371,252084730,52,12,0,1,86,4229.0,13,12,291.0,1.65384615385,1.0
203966,252530137,59,20,0,0,46,2773.0,20,20,1246.0,0.779661016949,1.0
204010,252561594,79,43,0,0,170,3085.0,43,41,449.0,2.15189873418,1.0
204541,252957709,77,71,7,3,155,1240.0,89,83,740.0,2.01298701299,1.0
204620,253018047,77,30,3,0,38,2082.0,34,34,1893.0,0.493506493506,1.0
204859,253205497,55,56,12,6,115,1243.0,113,109,1225.0,2.09090909091,1.0
205550,253727466,2,0,0,0,17,117.0,0,0,0.0,8.5,1.0
205675,253830669,67,21,2,0,148,1550.0,24,24,246.0,2.20895522388,1.0
205676,253832918,46,45,3,0,270,1577.0,49,46,278.0,5.86956521739,1.0
205800,253918787,26,19,2,0,68,1203.0,22,22,493.0,2.61538461538,1.0
206004,254068269,22,36,7,0,143,4010.0,44,42,832.0,6.5,1.0
206590,254469479,70,53,0,1,72,1057.0,54,48,756.0,1.02857142857,1.0
206948,254716777,74,25,3,0,115,2406.0,28,28,606.0,1.55405405405,1.0
207083,254818075,21,10,1,1,48,1866.0,12,12,478.0,2.28571428571,1.0
207410,255075120,31,1,0,0,51,4264.0,1,1,35.0,1.64516129032,1.0
207482,255127216,6,0,0,0,84,1184.0,0,0,0.0,14.0,1.0
207621,255231542,1,0,0,0,6,540.0,0,0,0.0,6.0,1.0
208266,255676699,80,17,6,1,60,1799.0,25,25,813.0,0.75,1.0
208619,255927978,57,24,3,0,63,2191.0,28,27,1017.0,1.10526315789,1.0
208692,255966864,3,0,0,0,46,746.0,0,0,0.0,15.3333333333,1.0
208804,256059653,76,13,0,0,59,3426.0,13,13,690.0,0.776315789474,1.0
208992,256201915,15,2,0,0,86,7388.0,2,2,70.0,5.73333333333,1.0
209202,256357413,13,53,3,3,90,1015.0,59,58,672.0,6.92307692308,1.0
209403,256511799,29,27,0,2,264,4691.0,30,30,433.0,9.10344827586,1.0
209445,256544590,31,12,2,0,101,1833.0,14,13,127.0,3.25806451613,1.0
209946,256898559,64,30,2,0,93,2745.0,33,33,1067.0,1.453125,1.0
210696,257492192,24,2,0,0,37,12903.0,2,2,11.0,1.54166666667,1.0
210894,257647950,64,98,14,1,456,4132.0,118,114,1017.0,7.125,1.0
211379,257970364,6,2,0,0,35,607.0,2,1,40.0,5.83333333333,1.0
211514,258067611,53,43,7,0,670,8934.0,52,51,499.0,12.641509434,1.0
212888,259108779,45,15,2,0,52,3592.0,20,18,1457.0,1.15555555556,1.0
213214,259330871,78,5,0,0,53,3989.0,5,5,93.0,0.679487179487,1.0
213385,259459144,10,1,0,0,9,3135.0,1,1,1400.0,0.9,1.0
213835,259780995,36,2,0,0,22,4150.0,3,3,695.0,0.611111111111,1.0
214201,260038022,63,25,0,0,208,3704.0,29,29,560.0,3.30158730159,1.0
214411,260186165,34,35,0,0,138,1278.0,35,35,372.0,4.05882352941,1.0
214862,260525379,68,13,2,0,116,2258.0,16,14,176.0,1.70588235294,1.0
215044,260650556,74,8,0,1,27,3402.0,9,9,489.0,0.364864864865,1.0
215578,261061289,15,8,0,0,126,2087.0,8,8,99.0,8.4,1.0
216342,261660660,3,0,0,0,30,440.0,0,0,0.0,10.0,1.0
216343,261660749,54,19,3,0,87,2444.0,22,21,446.0,1.61111111111,1.0
216397,261700065,67,32,2,0,86,3537.0,36,34,1630.0,1.28358208955,1.0
217113,262178289,56,24,6,0,81,1050.0,30,28,581.0,1.44642857143,1.0
217124,262185889,7,1,0,0,136,4398.0,1,1,27.0,19.4285714286,1.0
217378,262380323,2,0,0,0,9,2380.0,0,0,0.0,4.5,1.0
218046,262860546,78,13,0,0,46,4269.0,13,11,672.0,0.589743589744,1.0
218309,263048989,50,7,1,2,281,9026.0,10,10,173.0,5.62,1.0
218417,263120990,65,37,2,1,113,2505.0,44,43,726.0,1.73846153846,1.0
219137,263620537,80,122,14,5,290,4087.0,154,144,1825.0,3.625,1.0
219301,263739904,37,0,0,0,21,5670.0,0,0,0.0,0.567567567568,1.0
219375,263810880,28,28,0,2,75,1011.0,30,25,445.0,2.67857142857,1.0
219686,264047628,65,72,3,1,162,2622.0,77,72,1138.0,2.49230769231,1.0
220040,264305792,7,0,0,0,81,2516.0,0,0,0.0,11.5714285714,1.0
220256,264452578,2,0,0,0,24,162.0,0,0,0.0,12.0,1.0
220349,264524193,50,38,3,0,42,1484.0,42,40,1484.0,0.84,1.0
220399,264564475,55,30,2,0,205,5217.0,32,32,1265.0,3.72727272727,1.0
220612,264717912,66,15,0,0,22,2045.0,15,13,1617.0,0.333333333333,1.0
220777,264844956,68,6,2,0,108,5276.0,9,9,373.0,1.58823529412,1.0
220786,264856306,61,35,1,0,60,1693.0,36,27,1055.0,0.983606557377,1.0
221996,265801968,39,0,0,0,17,4082.0,0,0,0.0,0.435897435897,1.0
222029,265828578,77,16,1,0,57,2725.0,17,17,725.0,0.74025974026,1.0
222227,265986858,39,12,0,0,133,1417.0,12,12,139.0,3.41025641026,1.0
222365,266081820,1,0,0,0,28,527.0,0,0,0.0,28.0,1.0
222409,266106863,32,1,0,0,62,3300.0,2,2,103.0,1.9375,1.0
222818,266412654,38,47,2,0,381,4187.0,52,48,538.0,10.0263157895,1.0
222949,266514685,2,0,0,0,11,1040.0,0,0,0.0,5.5,1.0
223389,266873248,75,18,0,0,153,3606.0,19,17,577.0,2.04,1.0
224468,267635113,5,4,0,0,90,2549.0,4,4,102.0,18.0,1.0
225485,268407881,34,15,0,0,284,4791.0,15,15,218.0,8.35294117647,1.0
226028,268820060,47,36,2,0,74,1044.0,38,38,558.0,1.57446808511,1.0
226050,268836106,77,96,11,2,286,4716.0,116,107,2139.0,3.71428571429,1.0
226692,269327319,57,54,5,1,504,4091.0,63,59,581.0,8.84210526316,1.0
226836,269416651,16,2,0,0,116,9522.0,2,2,50.0,7.25,1.0
227194,269675566,68,15,3,0,58,3841.0,18,18,958.0,0.852941176471,1.0
227797,270129265,26,7,2,0,44,2077.0,10,10,423.0,1.69230769231,1.0
228027,270289260,33,14,0,0,100,1402.0,14,14,248.0,3.0303030303,1.0
228289,270488531,74,21,1,0,40,2804.0,22,21,959.0,0.540540540541,1.0
228896,270957897,19,2,0,0,40,2556.0,2,2,124.0,2.10526315789,1.0
229223,271196156,25,33,1,0,337,3637.0,36,35,439.0,13.48,1.0
229252,271221257,66,20,4,2,28,1471.0,28,26,1471.0,0.424242424242,1.0
229372,271321091,57,13,1,0,91,3753.0,15,14,513.0,1.59649122807,1.0
229772,271593836,78,36,4,1,85,2047.0,45,43,1098.0,1.08974358974,1.0
230017,271768720,68,34,1,0,93,1952.0,37,34,848.0,1.36764705882,1.0
